,Description,Director,Runtime (Minutes),Action,Adventure,Aniimation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Success
200,A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.,Nimród Antal,107,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
201,"A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land.",Robert Stromberg,97,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
202,"In the falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",Guillermo del Toro,118,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
203,"In 1960s New York, Walter Stackhouse is a successful architect married to the beautiful Clara who leads a seemingly perfect life. But his fascination with an unsolved murder leads him into a spiral of chaos as he is forced to play cat-and-mouse with a clever killer and an overambitious detective, while at the same time lusting after another woman.",Andy Goddard,95,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
204,"As the Mayan kingdom faces its decline, the rulers insist the key to prosperity is to build more temples and offer human sacrifices. Jaguar Paw, a young man captured for sacrifice, flees to avoid his fate.",Mel Gibson,139,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,"Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF.",Christopher McQuarrie,131,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
206,"Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.",Cedric Nicolas-Troyan,114,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,An introvert freshman is taken under the wings of two seniors who welcome him to the real world.,Stephen Chbosky,102,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
208,"Following the assassination of President John F. Kennedy, First Lady Jacqueline Kennedy fights through grief and trauma to regain her faith, console her children, and define her husband's historic legacy.",Pablo Larraín,100,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
209,A mother and her young son release unimaginable horrors from the attic of their rural dream home.,D.J. Caruso,85,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
210,"The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend.",Wes Anderson,99,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,"When an unseen enemy threatens mankind by taking over their bodies and erasing their memories, Melanie will risk everything to protect the people she cares most about, proving that love can conquer all in a dangerous new world.",Andrew Niccol,125,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
212,"A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945.",David Ayer,134,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
213,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",Pete Docter,95,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
214,"When a radio falls from the sky into the hands of a wide-eyed Tibetan Mastiff, he leaves home to fulfill his dream of becoming a musician, setting into motion a series of completely unexpected events.",Ash Brannon,90,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,"When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline.",Alan Taylor,126,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
216,A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.,Chris Columbus,118,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
217,"In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.",Tom Hooper,158,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1
218,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",Alfonso Cuarón,109,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
219,"The story of a teenage boy, his mother, and two other women who help raise him among the love and freedom of Southern California of 1979.",Mike Mills,119,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,"A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.",Paul Feig,119,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Olivier Nakache,112,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,"Anne is at a crossroads in her life. Long married to a successful, driven but inattentive movie producer, she unexpectedly finds herself taking a car trip from Cannes to Paris with a ... See full summary »",Eleanor Coppola,92,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
223,"Three teenagers live isolated, without leaving their house, because their over-protective parents say they can only leave when their dogtooth falls out.",Yorgos Lanthimos,94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
224,"The group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",F. Gary Gray,147,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
225,"When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.",Marc Webb,142,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
226,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,James Wan,112,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
227,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",Todd Phillips,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
228,A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.,Peter Berg,131,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
229,"A substance, designed to help the brain repair itself, gives rise to a super-intelligent chimp who leads an ape uprising.",Rupert Wyatt,105,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
230,"Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with an entity attached to their mother.",David F. Sandberg,81,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
231,"Norman Oppenheimer is a small time operator who befriends a young politician at a low point in his life. Three years later, when the politician becomes an influential world leader, Norman's life dramatically changes for better and worse.",Joseph Cedar,118,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
232,"Illustrated upon the progress of his latest Broadway play, a former popular actor's struggle to cope with his current life as a wasted actor is shown.",Alejandro González Iñárritu,119,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
233,"A committed dancer wins the lead role in a production of Tchaikovsky's ""Swan Lake"" only to find herself struggling to maintain her sanity.",Darren Aronofsky,108,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
234,The lives of four black students at an Ivy League college.,Justin Simien,108,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,A self-diagnosed nymphomaniac recounts her erotic experiences to the man who saved her after a beating.,Lars von Trier,117,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,"After facing Shredder, who has joined forces with mad scientist Baxter Stockman and henchmen Bebop and Rocksteady to take over the world, the Turtles must confront an even greater nemesis: the notorious Krang.",Dave Green,112,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,"A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.",Eli Roth,99,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
238,"Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant-Colonel, to Florida for spring break.",Dan Mazer,102,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,"An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution.",Tom Tykwer,172,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
240,"A look at Wolverine's early life, in particular his time with the government squad Team X and the impact it will have on his later years.",Gavin Hood,107,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
241,"Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",Sam Mendes,143,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
242,"A reluctant hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home - and the gold within it - from the dragon Smaug.",Peter Jackson,169,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
243,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,Phil Lord,110,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
244,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,John Carney,106,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
245,A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.,Joseph Kosinski,124,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
246,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.",Phil Lord,112,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
247,"In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",David Fincher,157,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
248,"In 1980, a group of college baseball players navigate their way through the freedoms and responsibilities of unsupervised adulthood.",Richard Linklater,117,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Shane Black,130,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
250,An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,Louis Leterrier,115,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
251,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,Guy Ritchie,128,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
252,A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.,Tom Hooper,119,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
253,"Having endured his legendary twelve labors, Hercules, the Greek demigod, has his life as a sword-for-hire tested when the King of Thrace and his daughter seek his aid in defeating a tyrannical warlord.",Brett Ratner,98,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,"A young girl is institutionalized by her abusive stepfather, retreating to an alternative reality as a coping strategy, envisioning a plan to help her escape.",Zack Snyder,110,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
255,A suburban couple becomes embroiled in an international espionage plot when they discover that their seemingly perfect new neighbors are government spies.,Greg Mottola,105,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.,Lana Wachowski,127,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
257,A guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history. Based on the October 1997 Loomis Fargo robbery.,Jared Hess,95,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,"While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.",Sang-ho Yeon,118,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
259,"Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition.",Jason Moore,112,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
260,"When their new next-door neighbors turn out to be a sorority even more debaucherous than the fraternity previously living there, Mac and Kelly team with their former enemy, Teddy, to bring the girls down.",Nicholas Stoller,92,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,"Clark Kent, one of the last of an extinguished race disguised as an unremarkable human, is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction.",Zack Snyder,143,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
262,Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events.,Ross Katz,111,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
263,"Manny, Diego, and Sid join up with Buck to fend off a meteor strike that would destroy the world.",Mike Thurmeier,94,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,"A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine.",David Frankel,109,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar.,Brad Furman,127,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Paul Thomas Anderson,158,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
267,"A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new, quiet life. But when he meets a young girl under the control of ultra-violent Russian gangsters, he can't stand idly by - he has to help her.",Antoine Fuqua,132,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
268,"Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.",Peter Berg,121,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
269,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",Drew Goddard,95,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
270,"After Playboy bunny Shelley is kicked out of the playboy mansion, she finds a job as the house mother for a sorority full of socially awkward girls.",Fred Wolf,97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
271,"An average Joe meets the perfect woman, but his lack of confidence and the influence of his friends and family begin to pick away at the relationship.",Jim Field Smith,104,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
272,"In 1970, drug-fueled Los Angeles private investigator Larry ""Doc"" Sportello investigates the disappearance of a former girlfriend.",Paul Thomas Anderson,148,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.,James Bobin,113,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
274,A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.,Justin Lin,104,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
275,A group of young adults navigate love and relationships in New York City.,Christian Ditter,110,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
276,"The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.",John Lee Hancock,129,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
277,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.",Abdellatif Kechiche,180,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
278,"A single mother, plagued by the violent death of her husband, battles with her son's fear of a monster lurking in the house, but soon discovers a sinister presence all around her.",Jennifer Kent,93,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
279,Bilbo and Company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.,Peter Jackson,144,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
280,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",David Yates,138,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
281,"Set in a future where a failed climate-change experiment kills all life on the planet except for a lucky few who boarded the Snowpiercer, a train that travels around the globe, where a class system emerges.",Bong Joon Ho,126,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
282,"Four waves of increasingly deadly alien attacks have left most of Earth decimated. Cassie is on the run, desperately trying to save her younger brother.",J Blakeson,112,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
283,Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation.,M. Night Shyamalan,94,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
284,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,Justin Lin,131,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
285,"Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with an up and coming dancer, Nora.",Anne Fletcher,104,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
286,The relationship between two friends deepens during an impromptu road trip.,So Yong Kim,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,"In London, a real-estate scam puts millions of pounds up for grabs, attracting some of the city's scrappiest tough guys and its more established underworld types, all of whom are looking to get rich quick. While the city's seasoned criminals vie for the cash, an unexpected player -- a drugged-out rock 'n' roller presumed to be dead but very much alive -- has a multi-million-dollar prize fall into... See full summary »",Guy Ritchie,114,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
288,"In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system.",Andrew Niccol,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
289,"Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, but is later sued by two brothers who claimed he stole their idea, and the co-founder who was later squeezed out of the business.",David Fincher,120,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
290,The last witch hunter is all that stands between humanity and the combined forces of the most horrifying witches in history.,Breck Eisner,106,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
291,"Told from Igor's perspective, we see the troubled young assistant's dark origins, his redemptive friendship with the young medical student Viktor Von Frankenstein, and become eyewitnesses to the emergence of how Frankenstein became the man - and the legend - we know today.",Paul McGuigan,110,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
292,"Based on the international best selling book. The true feel good story of how James Bowen, a busker and recovering drug addict, had his life transformed when he met a stray ginger cat.",Roger Spottiswoode,103,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar.,Jeremy Saulnier,95,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
294,A furloughed convict and his American and Chinese partners hunt a high-level cybercrime network from Chicago to Los Angeles to Hong Kong to Jakarta.,Michael Mann,133,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
295,"Storks have moved on from delivering babies to packages. But when an order for a baby appears, the best delivery stork must scramble to fix the error by delivering the baby.",Nicholas Stoller,87,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home to his wife and kids after four tours of duty, however, Chris finds that it is the war he can't leave behind.",Clint Eastwood,133,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
297,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",Jean-Marc Vallée,117,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,"As the War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.",Steven Spielberg,150,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
299,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,Ron Howard,123,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",David O. Russell,122,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
301,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.,Josh Boone,126,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
302,"After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attraction grows as their respective kids benefit from the burgeoning relationship.",Frank Coraci,117,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
303,"Brian O'Conner, back working for the FBI in Los Angeles, teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation.",Justin Lin,107,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
304,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.",Rian Johnson,119,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,"While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders.",Roland Emmerich,131,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
306,"The adventures of an orphaned boy named Pete and his best friend Elliot, who just so happens to be a dragon.",David Lowery,102,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
307,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",Sam Raimi,139,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.,Paul W.S. Anderson,110,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
309,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",Matthew Vaughn,127,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
310,"A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild FBI agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and mafia.",David O. Russell,138,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
311,A newly possessed high school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?,Karyn Kusama,102,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
312,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s everyday at midnight.",Woody Allen,94,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
313,"Joy is the story of the title character, who rose to become founder and matriarch of a powerful family business dynasty.",David O. Russell,124,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,"A glamorous woman returns to her small town in rural Australia. With her sewing machine and haute couture style, she transforms the women and exacts sweet revenge on those who did her wrong.",Jocelyn Moorhouse,119,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,"In the 1930s, a Bronx native moves to Hollywood and falls in love with a young woman who is seeing a married man.",Woody Allen,96,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
316,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,Robert Schwentke,119,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
317,"When Mother Malkin, the queen of evil witches, escapes the pit she was imprisoned in by professional monster hunter Spook decades ago and kills his apprentice, he recruits young Tom, the seventh son of the seventh son, to help him.",Sergei Bodrov,102,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
318,A look at the relationship between the famous physicist Stephen Hawking and his wife.,James Marsh,123,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
319,"While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the Biblical Apocalypse.",Evan Goldberg,107,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
320,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",Richard Curtis,123,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
321,Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.,Adam McKay,98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
322,"A loving father finds a clown suit for his son's birthday party, only to realize that it is not a suit at all.",Jon Watts,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
323,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",J.J. Abrams,132,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
